NatEmis,DataYear,Province,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
700400927,2025,GT,CURRO MIDRAND COMBINED SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.108998,-25.988686,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800112,798004008,CARLSWALD AH,COLSTON VEATER,CARLSWALD,MIDRAND,MIDRAND,"48, HARRY GALAUN DRIVE, CARLSWALD, MIDRAND, MIDRAND",P.O BOX 12811 VORNA VALLEY 1686,,873232420,NO,NONE,N/A,,NOT APPLICABLE,42766,NO,URBAN,,GT,NOT MOVED,700400927,99,461,31
700400928,2025,GT,GAUTENG CITY COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8400928,,28.049847,-26.177826,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800067,798015048,HOUGHTON ESTATE,FAITH ZONDI,HOUGHTON,HOUGHTON,JOHANNESBURG,"36, BOUNDARY ROAD, HOUGHTON, HOUGHTON, JOHANNESBURG",,,110514820,NO,NONE,N/A,,NOT APPLICABLE,42767,NO,URBAN,,GT,NOT MOVED,700400928,99,118,13
700400930,2025,GT,TAALNET GLEN AUSTIN,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8400930,,28.150321,-26.029765,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800110,798004035,GLEN AUSTIN AH SP1,MEMORY MAUCHI,GLEN AUSTIN,MIDRAND,MIDRAND,"520, BOXER STREET, GLEN AUSTIN, MIDRAND, MIDRAND",P.O BOX 4971 KEMPTON PARK 1619,,115689074,NO,NONE,N/A,,NOT APPLICABLE,42767,NO,URBAN,,GT,NOT MOVED,700400930,99,179,16
700400932,2025,GT,FUTURE NATION SCHOOLS LYNDHURST,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,2,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.102784,-26.126101,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800081,798015014,KEW,SIZWE CYRIL NJAPHA,LYNDHURST,JOHANNESBURG,JOHANNESBURG,"2, WESSELS AVENUE, LYNDHURST, JOHANNESBURG, JOHANNESBURG",,,113862500,NO,NONE,N/A,,NOT APPLICABLE,42767,NO,URBAN,,GT,NOT MOVED,700400932,99,516,31
700400952,2025,GT,CURRO WATERFALL COMBINED,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.096818,-26.013085,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800132,798004036,WATERVAL CITY,MARK HEIDMANN,WATERFALL,MIDRAND,MIDRAND,", MAXWELL DRIVE, WATERFALL, MIDRAND, MIDRAND",,,872879469,NO,NONE,N/A,,NOT APPLICABLE,43257,NO,URBAN,,GT,NOT MOVED,700400952,99,773,59
700400953,2025,GT,CURRO RIVONIA COMBINED,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.056194,-26.046556,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800106,798013017,RIVONIA,DUMISANE  KUNENE,RIVONIA,SANDTON,SANDTON,"43, HOMESTEAD ROAD, RIVONIA, SANDTON, SANDTON",,,872879471,NO,NONE,N/A,,NOT APPLICABLE,43257,NO,URBAN,,GT,NOT MOVED,700400953,99,851,70
700400957,2025,GT,REDDAM HOUSE HELDERFONTEIN,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.02288,-25.990002,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800094,798002003,CITY OF JOHANNESBURG NU,GRAHAM CLYDE BENNETTS,GLENFERNESS,MIDRAND,MIDRAND,"1, CHATTAN ROAD, GLENFERNESS, MIDRAND, MIDRAND",,,100604232,NO,NONE,N/A,,NOT APPLICABLE,43257,NO,URBAN,,GT,NOT MOVED,700400957,99,561,27
700400960,2025,GT,REDDFORD HOUSE BLUE HILLS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.081645,-25.952895,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800094,798004002,BLUE HILLS AH,ROSS DAVID DAVIS,BLUE HILLS ESTATE,MIDRAND,MIDRAND,"5, MOPANI ROAD, BLUE HILLS ESTATE, MIDRAND, MIDRAND",POSTNET SUIT NO. 266 PRIVATE BAG X11 HALWAY HOUSE MIDRAND 1685,,100600761,NO,NONE,N/A,,NOT APPLICABLE,43466,NO,URBAN,,GT,NOT MOVED,700400960,99,916,62
700400983,2025,GT,ESCA WANDERERS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,2,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.053708,-26.13529,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800074,798013060,ILLOVO,LISA PIENAAR,ILLOVO,SANDTON,SANDTON,"21, NORTH STREET, ILLOVO, SANDTON, SANDTON",,,100353600,NO,NONE,N/A,,NOT APPLICABLE,43661,NO,URBAN,,GT,NOT MOVED,700400983,99,119,21
700400985,2025,GT,ADVTECH ACADEMY THE BRIDGE ASSISTED LEARNING SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.018409,-25.999078,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800094,798013004,BEVERLEY,RAUIRI AUGUSTINE MAARMAN,BEVERLY AH,SANDTON,SANDTON,", ROBERT BRUCE ROAD, BEVERLY AH, SANDTON, SANDTON",,,100055559,NO,NONE,N/A,,NOT APPLICABLE,43661,NO,URBAN,,GT,NOT MOVED,700400985,99,,
700400987,2025,GT,YATAL PRIMARY & HIGH SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.068367,-26.196319,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800066,798015085,BERTRAMS,THANDIWE  SIBANDA,BERTRAMS,JOHANNESBURG,JOHANNESBURG,"17, CNR FULLER STREET AND CARNAVON ROAD, BERTRAMS, JOHANNESBURG, JOHANNESBURG",,,101096784,NO,NONE,N/A,,NOT APPLICABLE,43661,NO,URBAN,,GT,NOT MOVED,700400987,99,181,7
700401029,2025,GT,QURTUBA ISLAMIC ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8401029,,28.121723,-26.089028,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800032,798013047,MODDERFONTEIN AH,FAIZA ISMAIL CHOHAN,LINBRO PARK,SANDTON,SANDTON,"53, 2ND ROAD, LINBRO PARK, SANDTON, SANDTON",,,116080527,NO,NONE,N/A,,NOT APPLICABLE,43852,NO,URBAN,,GT,NOT MOVED,700401029,99,876,65
700401037,2025,GT,BRIGHT STARS ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,2,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.086419,-26.162016,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800073,798015062,ORANGE GROVE,SIYASANGA NOZUKO KGALEMONE,ORANGE GROVE,JOHANNESBURG,JOHANNESBURG,"27, 8TH AVENUE, ORANGE GROVE, JOHANNESBURG, JOHANNESBURG",,,116402102,NO,NONE,N/A,,NOT APPLICABLE,43852,NO,URBAN,,GT,NOT MOVED,700401037,99,1266,44
700401057,2025,GT,THE PRESIDENT PARK GOSPEL GARDEN SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.168748,-26.005531,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800110,798004033,PRESIDENT PARK AH,YAANGMEE JEONG,PRESIDENT PARK AH,MIDRAND,MIDRAND,"117, BOSHOFF ROAD, PRESIDENT PARK AH, MIDRAND, MIDRAND",PO BOX 12150 VORNA VALLEY 1685,,735633728,NO,NONE,N/A,,NOT APPLICABLE,43852,NO,URBAN,,GT,NOT MOVED,700401057,99,130,7
700401058,2025,GT,THE BEEHILL COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.047546,-26.190014,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800063,798015088,HILLBROW,ADMIRE  NCUBE,HILLBROW,JOHANNESBURG,JOHANNESBURG,"98, TWIST STREET, HILLBROW, JOHANNESBURG, JOHANNESBURG",,,100234455,NO,NONE,N/A,,NOT APPLICABLE,43852,NO,URBAN,,GT,NOT MOVED,700401058,99,621,19
700401090,2025,GT,JW SAINTS TECHNICAL COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8401090,,28.16169632,-26.02661022,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800110,798004034,AUSTIN VIEW AH,DAY  NGWENYA,AUSTIN VIEW EXT 1,AUSTIN VIEW,MIDRAND,"151, KEESHOND STREET, AUSTIN VIEW EXT 1, AUSTIN VIEW, MIDRAND",,,113330577,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401090,99,547,29
700401097,2025,GT,ANITA'S COMBINED SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.190588,-26.005448,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800078,798006006,IVORY PARK EXT 6,GIJA COLLENCE CHAVALALA,IVORY PARK EXT. 6,IVORY PARK,MIDRAND,"3700, CNR MILO AND RECREATION ROAD, IVORY PARK EXT. 6, IVORY PARK, MIDRAND",,,605289068,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401097,99,182,7
700401098,2025,GT,PINNACLE COLLEGE WATERFALL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.07181,-26.007321,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800132,798004031,BARBEQUE DOWNS,ANDREA DAWSON,BARBEQUE DOWNS,MIDRAND,MIDRAND,"11, CONDICAN ROAD, BARBEQUE DOWNS, MIDRAND, MIDRAND",,,873521975,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401098,99,,
700401106,2025,GT,"MODDERFONTEIN ACADEMY OF ARTS, SPORTS AND CULTURE",OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.163092,-26.095832,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800032,798015005,FOUNDERS HILL,STARR HANNAH SCOTT,FOUNDERS HIL,LETHABONG,JOHAANESBURG,"03, MAIN STREET, FOUNDERS HIL, LETHABONG, JOHAANESBURG",,,833261112,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401106,99,42,8
700401109,2025,GT,NOKUPHILA SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.160957,-26.002146,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800110,798004033,PRESIDENT PARK AH,MABEL SIKHAKHANE,PRESIDENT PARK AH,MIDRAND,MIDRAND,"59, STEYN ROAD,  PRESIDENT PARK AH, MIDRAND, MIDRAND",,,100237370,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401109,99,407,33
700401119,2025,GT,HOPE FOUNTAIN COMBINED SCHOOL-HILLBROW,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.048438,-26.192699,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800123,798015088,Hillbrow,ANDILE CHRISTIAN CELE,HILLBROW,JOHANNESBURG,JOHANNESBURG,"25, PIETERSEN STREET, HILLBROW, JOHANNESBURG, JOHANNESBURG",,,104480914,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401119,99,397,16
700401120,2025,GT,PINNACLE COLLEGE FOUNDERS HILL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.159574,-26.093488,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800032,798015002,MODDERFONTEIN,ANTHONY JANSEN VAN RENSBURG,FOUNDERS HILL,MODDERFOINTEIN,JOHANNESBURG,"39, PINELANDS ROAD, FOUNDERS HILL, MODDERFOINTEIN, JOHANNESBURG",,,873502834,NO,NONE,N/A,,NOT APPLICABLE,44244,NO,URBAN,,GT,NOT MOVED,700401120,99,,
700401124,2025,GT,RIFT HOUSE ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.206597,-25.977912,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800077,798006001,IVORY PARK EXT 13,SANELE  MKHWANAZI,IVORY PARK EXT 13,MIDRAND,MIDRAND,"14561, APOLE STREET, IVORY PARK EXT 13, MIDRAND, MIDRAND",,,100234458,NO,NONE,N/A,,NOT APPLICABLE,44299,NO,URBAN,,GT,NOT MOVED,700401124,99,213,12
700401146,2025,GT,WORD OF LIGHT ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8401146,,28.0715907,-26.1941374,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800066,798015084,LORENTZVILLE,KWAZIKWAKHE MADLALA,BERTRAMS,LORENTZVILLE,JOHANNESBURG,"59, KIMBERLEY ROAD, BERTRAMS, LORENTZVILLE, JOHANNESBURG",,,108001764,NO,NONE,N/A,,NOT APPLICABLE,44562,NO,URBAN,,GT,NOT MOVED,700401146,99,280,25
700401192,2025,GT,LANTO MONTESSORI INTERNATIONAL SCHOOLS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.1641,-26.0069,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800110,798004033,President Park AH,ELIZABETH BOPHELO MOYAHA MOYAHA,PRESIDENT PARK AH,MIDRAND,MIDRAND,"138, STEYN ROAD, PRESIDENT PARK AH, MIDRAND, MIDRAND",,,102240458,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401192,99,250,12
700401195,2025,GT,HOLINESS COMBINED SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.0656,-26.1839,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800067,798015080,Bellevue,ROSEMARY  NCUBE,BELLEVUE,JOHANNESBURG,JOHANNESBURG,"5, POPE STREET, BELLEVUE, JOHANNESBURG, JOHANNESBURG",,,103351805,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401195,99,454,11
700401203,2025,GT,HAMILTON HOUSE,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,JE001,2,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.084491,-26.139396,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800074,798015044,Waverley,MARX,WAVERLEY,JOHANNESBURG,JOHANNESBURG,"3, CAMPBELL STREET, WAVERLEY, JOHANNESBURG, JOHANNESBURG",,,99,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401203,99,,
700401205,2025,GT,NOVA PIONEER MIDRAND,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.124264,-25.983218,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800112,798004020,Carlswald North,SIZONQOBA CHALUFU,HALFWAY HOUSE,MIDRAND,MIDRAND,"167, 3RD AVENUE, HALFWAY HOUSE, MIDRAND, MIDRAND",,,109760002,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401205,99,153,18
700401216,2025,GT,SPARKS RIVERSANDS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.02841414,-25.96263379,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800094,798004011,Knopjeslaagte AH,ZAMAJOLA MNYAKA,KNOPJESLAAGTE,MIDRAND,MIDRAND,"2, ROSE ROAD, KNOPJESLAAGTE, MIDRAND, MIDRAND",,,105903199,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401216,99,781,2
700401219,2025,GT,CENTENNIAL SCHOOLS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.07006,-26.033552,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800093,798013018,Sunninghill,JOSEINA RAMGAREEB,SUNNINGHILL,SANDTON,SANDTON,"71, NANYUKI ROAD, SUNNINGHILL,  SANDTON,  SANDTON",,,101090800,NO,NONE,N/A,,NOT APPLICABLE,44927,NO,URBAN,,GT,NOT MOVED,700401219,99,351,23
700401221,2025,GT,ASPIRING YOUNG MINDS-SANDTON,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.095433,-26.076737,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800109,798013022,KELVIN,ABDUR RAHMAAN SAHAL SALOOJEE,KELVIN,SANDTON,SANDTON,"15, DALEWAY STREET, KELVIN, SANDTON, SANDTON",,,825427340,NO,NONE,N/A,,NOT APPLICABLE,44946,NO,URBAN,,GT,NOT MOVED,700401221,99,94,15
700401225,2025,GT,MESIVTA SHAAREI TORAH,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,JE001,2,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8401225,,28.096841,-26.138654,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800072,798015032,GLENHAZEL,VINESH  INDURJEETH,GLENHAZEL,JOHANNESBURG,JOHANNESBURG,"7, KINGSWOOD ROAD, GLENHAZEL, JOHANNESBURG, JOHANNESBURG",,,117867521,NO,NONE,N/A,,NOT APPLICABLE,44946,NO,URBAN,,GT,NOT MOVED,700401225,99,61,12
700401243,2025,GT,GEM-MEG ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.049364,-26.201845,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800059,798015088,HILLBROW,MATOME MANYANE,HILLBROW,JOHANNESBURG,JOHANNESBURG,"104, KERK STREET, HILLBROW, JOHANNESBURG, JOHANNESBURG",,,100230518,NO,NONE,N/A,,NOT APPLICABLE,45292,NO,URBAN,,GT,NOT MOVED,700401243,99,318,8
700401249,2025,GT,CURRO NEW ROAD,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.12515,-25.99427,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800092,798004018,HALFWAY HOUSE,NOSIPHO PATRICIA SISHUBA,HALFWAY HOUSE,MIDRAND,MIDRAND,"223, ALEXANDRA AVENUE, HALFWAY HOUSE, MIDRAND, MIDRAND",,,870877600,NO,NONE,N/A,,NOT APPLICABLE,45292,NO,URBAN,,GT,NOT MOVED,700401249,99,708,29
700401252,2025,GT,CHRISTIANS ACADEMY OF LEARNING,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.0469,-26.1897,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800063,798015088,HILLBROW,SIPHOKAZI  NKOMO MUTEMA,HILLBROW,JOHANNESBURG,JOHANNESBURG,"103, CNR TWIST AND KOTZE STREET, HILLBROW, JOHANNESBURG, JOHANNESBURG",,,100236983,NO,NONE,N/A,,NOT APPLICABLE,45292,NO,URBAN,,GT,NOT MOVED,700401252,99,506,17
700401262,2025,GT,AMEDEO COLLEGE SANDTON,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.058493,-26.055633,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800106,798013024,EDENBURG,JACOB ABRAHAM GERHARDUS VAN DER WESTHUIZEN,RIVONIA,SANDTON,SANDTON,"23, DE LA REY ROAD, RIVONIA, SANDTON, SANDTON",,,112025503,NO,NONE,N/A,,NOT APPLICABLE,45292,NO,URBAN,,GT,NOT MOVED,700401262,99,59,13
700401267,2025,GT,EDUSTREAMS,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,JE001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.054661,-25.993473,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800094,798004010,KYALAMI AH,THANASAGREN ALAN NAMBIAR,KYALAMI AH,MIDRAND,MIDRAND,"556, ZINNIA ROAD, KYALAMI AH, MIDRAND, MIDRAND",,,633681921,NO,NONE,N/A,,NOT APPLICABLE,45292,NO,URBAN,,GT,NOT MOVED,700401267,99,35,13
